id,name,lat,lon,osm_elements,min_distance_m,within_threshold,osm_type_compatible,error
SK133264,Galanta,48.184997,17.72297,80,11.2,True,True,
SK133306,Letanovce,48.973653,20.460319,14,17.8,True,True,
SK133363,Šaľa,48.147638,17.859721,24,10.9,True,True,
SK133405,Spišské Tomášovce,48.964638,20.474267,11,32.3,True,True,
SK133462,Topoľnica,48.166394,17.795107,13,10.5,True,True,
SK133504,Smižany,48.95315,20.52245,11,9.6,True,True,
SK133561,Diakovce,48.12994,17.852021,2,36.8,True,True,
SK133603,Spišská Nová Ves,48.95038,20.56114,55,11.6,True,True,
SK133637,Banská Bystrica,48.73507,19.16345,62,4.8,True,True,
SK133660,Tešedíkovo,48.10642,17.856249,7,18.7,True,True,
SK133702,Teplička nad Hornádom,48.91862,20.58354,10,7.3,True,True,
SK133769,Žihárec,48.078884,17.881173,8,22.6,True,True,
SK133801,Harichovce,48.95478,20.5843,4,97.1,True,True,
SK133868,Trnovec nad Váhom,48.152538,17.929272,34,7.7,True,True,
SK133900,Markušovce,48.910322,20.63404,41,15.1,True,True,
SK133934,Šalková,48.741266,19.21817,13,3.4,True,True,
SK133967,Jatov,48.119241,18.006642,11,2.3,True,True,
SK134007,Matejovce nad Hornádom,48.91731,20.66988,11,17.2,True,True,
SK134064,Tvrdošovce,48.092504,18.040855,16,18.2,True,True,
SK134106,Chrasť nad Hornádom,48.92564,20.70025,12,11.2,True,True,
SK134163,Palárikovo,48.060081,18.0819,21,14.4,True,True,
SK134205,Spišské Vlachy,48.93588,20.80376,35,22.7,True,True,
SK134262,Ľudovítov,48.034941,18.113962,9,17.6,True,True,
SK134304,Spišské Vlachy mesto,48.94195,20.7922,6,15.0,True,True,
SK134361,Nové Zámky,47.995087,18.174275,107,3.1,True,True,
SK134403,Vítkovce,48.92538,20.71639,7,147.7,False,True,
SK134460,Dvory nad Žitavou,47.96871,18.249086,13,18.5,True,True,
SK134502,Olcnava,48.92598,20.74851,23,20.1,True,True,
SK134569,Pribeta,47.938069,18.316438,16,9.0,True,True,
SK134601,Krompachy,48.92154,20.88574,43,4.3,True,True,
SK134668,Strekov,47.899833,18.39981,21,3.3,True,True,
SK134700,Richnava,48.92288,20.92448,12,33.4,True,True,
SK134734,Vígľaš,48.55424,19.28262,16,16.3,True,True,
SK134809,Kluknava,48.91401,20.95128,7,124.1,False,True,
SK134866,Gbelce,47.849363,18.506914,13,10.4,True,True,
SK134908,Margecany,48.89437,21.01345,87,18.8,True,True,
SK134932,Zvolenská Slatina,48.55893,19.25163,2,43.3,True,True,
SK134965,Nová Vieska,47.86844,18.461458,9,23.2,True,True,
SK135004,Margecany zastávka,48.8895,21.04056,19,15.8,True,True,
SK135038,Pstruša,48.55339,19.31249,13,4.0,True,True,
SK135137,Stožok,48.53824,19.35837,34,7.4,True,True,
SK135160,Mužla,47.813069,18.595277,11,10.0,True,True,
SK135202,Jaklovce,48.873689,20.979176,3,69.4,True,True,
SK135236,Kriváň,48.52859,19.44586,20,5.4,True,True,
SK135269,Štúrovo,47.80006,18.67872,54,23.9,True,True,
SK135301,Malá Lodina,48.87395,21.13429,13,6.3,True,True,
SK135335,Detva,48.53372,19.40617,10,16.8,True,True,
SK135400,Ružín,48.87478,21.10883,15,30.9,True,True,
SK135418,Výh. Ružín,48.87347,21.1014241,11,10.3,True,True,
SK135434,Podkriváň,48.51632,19.46688,12,9.1,True,True,
SK135509,Veľká Lodina,48.85691,21.15497,12,19.9,True,True,
