id,name,lat,lon,osm_elements,error,min_distance_m,within_threshold,osm_type_compatible
SEDiö,Diö norra,56.6361,14.2211,10,,5.1,True,False
SEDj,Dala-Järna,60.5477,14.3627,7,,21.0,True,True
SEDk,Dockmyr,62.9546,15.739,6,,4.4,True,False
SEDl,Dingle,58.5296,11.5791,17,,5.1,True,True
SEDld,Dals Långed,58.9234,12.3062,9,,11.6,True,True
SEDma,Dannemora,60.1961,17.848,5,,2.5,True,True
SEDmn,Domnarvet,60.4937,15.4458,24,,20.9,True,False
SEDn,Dagarn,59.9081,15.7171,4,,32.3,True,False
SEDns,Dynäs,62.9663,17.7377,6,,14.8,True,False
SEDrt,Dals Rostock,58.7135,12.3553,4,,25.7,True,True
SEDt,Dingtuna,59.5716,16.3898,11,,3.9,True,True
SEDta,Dorotea,64.2582,16.4059,18,,17.0,True,True
SEDu,Duved,63.3898,12.9175,33,,5.7,True,True
SEDuo,Duvbo,59.3707,17.9322,15,,3.1,True,False
SEDy,Dysjön,62.628,15.5155,5,,21.6,True,False
SEDån,Dånviken,59.1899,17.7143,6,,18.5,True,False
SEDöe,Drömme,63.2505,18.2202,6,,100.6,False,False
SEDöl,Döljebro,60.994,16.6869,6,,125.5,False,False
SEE,Eslöv,55.8377,13.3054,48,,12.8,True,True
SEEa,Eldsberga,56.5909,12.9981,9,,5.0,True,True
SEEbg,Enstaberga,58.751,16.8491,5,,12.1,True,True
SEEby,Ekeby,59.7769,17.7553,10,,17.6,True,True
SEEd,Ed,58.9135,11.9329,11,,25.5,True,True
SEEi,Erikslund,62.5274,15.9126,6,,56.2,True,False
SEEk,Eksjö,57.6638,14.9754,26,,5.0,True,True
SEEko,Ekolsund,59.6141,17.3702,9,,13.4,True,False
SEEl,Edsvalla,59.4358,13.2126,7,,10.7,True,False
SEEm,Emmaboda,56.6298,15.5349,26,,1.8,True,True
SEEn,Edane,59.6268,12.8293,13,,4.7,True,True
SEEns,Enafors,63.2898,12.3373,13,,5.7,True,True
SEEp,Enköping,59.6446,17.0887,10,,8.3,True,True
SEEr,Ervalla,59.417,15.2476,8,,1.2,True,False
SEEra,Eneryda,56.7079,14.3397,8,,3.2,True,True
SEErk,Erikstad,58.6314,12.4106,6,,3.8,True,True
SEEsn,Ekenässjön,57.4905,15.0189,7,,19.7,True,True
SEEt,Eskilstuna central,59.3694,16.5055,23,,1.1,True,True
SEEtk,Ekträsk,64.4962,19.8096,7,,5.5,True,False
SEF,Falköpings central,58.1757,13.552,43,,12.8,True,True
SEFa,Finnerödja,58.9262,14.4429,12,,16.6,True,False
SEFabg,Falkenbergs godsstation,56.9016,12.4875,15,,22.4,True,False
SEFabp,Falkenberg personstation,56.9195,12.5087,11,,13.1,True,True
SEFal,Falerum,58.1436,16.2072,14,,12.9,True,True
SEFas,Farsta strand,59.2367,18.1041,21,,7.0,True,True
SEFb,Forsbacka,60.6397,16.8885,4,,6.1,True,False
SEFby,Floby,58.1387,13.3322,12,,49.2,True,True
SEFd,Floda,57.81,12.3615,10,,15.9,True,True
SEFdf,Frändefors,58.4943,12.2797,7,,47.8,True,False
SEFeb,Fellingsbro,59.4328,15.595,15,,5.1,True,False
SEFeö,Fågelsjö,61.8016,14.6821,7,,10.7,True,True
SEFfs,Finnforsfallet,64.7774,20.3331,3,,8.1,True,False
SEFg,Finspång,58.7072,15.7755,5,,138.4,False,False
SEFgc,Fagersta central,59.9905,15.8155,23,,6.7,True,True
SEFgl,Fågelsta,58.4586,15.0394,11,,25.2,True,False
SEFgå,Fagerås,59.5198,13.2182,5,,28.2,True,True
SEFgö,Fångsjöbacken,63.054,16.781,7,,6.7,True,False
SEFhm,Forshem,58.6181,13.4918,13,,14.6,True,True
SEFi,Fiskeby,58.6051,16.1239,16,,30.9,True,True
SEFil,Fillan,62.4262,17.382,3,,234.1,False,False
SEFin,Finja,56.1697,13.6955,6,,21.0,True,False
SEFjå,Fjällåsen,67.5194,20.0937,9,,13.8,True,True
SEFki,Fjälkinge,56.0414,14.2981,2,,37.3,True,False
SEFkr,Fåker,62.9932,14.5744,4,,6.5,True,True
SEFl,Flädie,55.7237,13.074,5,,1.3,True,False
